Navn,Hold,Position,Pris,Startpris,Vækst Runde 1,Vækst Runde 2,Vækst Runde 3,Vækst%,Runde1-points,Popularitet%,UdeAfSpil,Skadet
Alex Sandro,Brasilien,DEF,2522000,2500000,-5000,-5000,32000,0.88,0,2.37,Nej,Nej
Danilo Luiz da Silva,Brasilien,DEF,2716000,2500000,12000,112000,92000,8.64,0,2.44,Nej,Nej
Eder Militão,Brasilien,DEF,3000000,3000000,0,0,0,0.00,0,0.04,Ja,Nej
Gabriel Magalhaes,Brasilien,DEF,4738000,4500000,14000,112000,112000,5.29,0,4.82,Nej,Nej
Roger Ibanez,Brasilien,DEF,2484000,2500000,-6000,-5000,-5000,-0.64,0,0.47,Nej,Nej
Wesley Franca,Brasilien,DEF,3500000,3500000,0,0,0,0.00,0,0.03,Ja,Nej
Leo Pereira,Brasilien,DEF,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.31,Nej,Nej
Clement Akpa,Elfenbenskysten,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Bremer,Brasilien,DEF,2985000,3000000,-5000,-5000,-5000,-0.50,0,1.64,Nej,Nej
Christopher Operi,Elfenbenskysten,DEF,2092000,2000000,-5000,-5000,102000,4.60,0,0.07,Nej,Nej
Ghislain Konan,Elfenbenskysten,DEF,2580000,2500000,92000,-7000,-5000,3.20,0,0.03,Nej,Nej
Guela Doue,Elfenbenskysten,DEF,3155000,3000000,62000,-9000,102000,5.17,0,0.62,Nej,Nej
Wilfried Stephane Singo,Elfenbenskysten,DEF,2648000,2500000,152000,1000,-5000,5.92,0,0.19,Nej,Nej
Ousmane Diomande,Elfenbenskysten,DEF,2592000,2500000,-5000,-5000,102000,3.68,0,0.21,Nej,Nej
Emmanuel Agbadou,Elfenbenskysten,DEF,2580000,2500000,92000,-7000,-5000,3.20,0,0.15,Nej,Nej
Odilon Kossounou,Elfenbenskysten,DEF,2637000,2500000,42000,-7000,102000,5.48,0,0.03,Nej,Nej
Evan N'Dicka,Elfenbenskysten,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.12,Nej,Nej
Trent Alexander-Arnold,England,DEF,3500000,3500000,0,0,0,0.00,0,0.01,Ja,Nej
John Stones,England,DEF,4046000,4000000,56000,-5000,-5000,1.15,0,1.23,Nej,Nej
Dan Burn,England,DEF,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.47,Nej,Nej
Harry Maguire,England,DEF,3000000,3000000,0,0,0,0.00,0,0.01,Ja,Nej
Marc Guehi,England,DEF,4706000,4500000,32000,72000,102000,4.58,0,1.14,Nej,Nej
