Navn,Hold,Position,Pris,Startpris,Vækst Runde 1,Vækst Runde 2,Vækst Runde 3,Vækst%,Runde1-points,Popularitet%,UdeAfSpil,Skadet
Hannes Delcroix,Haiti,DEF,2453000,2500000,-9000,-25000,-13000,-1.88,0,0.01,Nej,Nej
Rocky Bushiri,Congo DR,DEF,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Dylan Batubinsika,Congo DR,DEF,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Jeremy Ngakia,Congo DR,DEF,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Aaron Wan-Bissaka,Congo DR,DEF,3059000,3000000,14000,-9000,54000,1.97,0,0.18,Nej,Nej
Axel Tuanzebe,Congo DR,DEF,3059000,3000000,14000,-9000,54000,1.97,0,0.07,Nej,Nej
Chancel Mbemba,Congo DR,DEF,2539000,2500000,-6000,-9000,54000,1.56,0,0.03,Nej,Nej
Arthur Masuaku,Congo DR,DEF,2617000,2500000,74000,-1000,44000,4.68,0,0.05,Nej,Nej
Aaron Tshibola,Congo DR,DEF,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.15,Nej,Nej
Gedeon Kalulu,Congo DR,DEF,2502000,2500000,12000,-5000,-5000,0.08,0,0.02,Nej,Nej
Joris Kayembe,Congo DR,DEF,2545000,2500000,12000,-9000,42000,1.80,0,0.01,Nej,Nej
Steve Kapuadi,Congo DR,DEF,2000000,2000000,14000,-9000,-5000,0.00,0,0.03,Nej,Nej
Lionel Mpasi Nzau,Congo DR,MV,2599000,2500000,14000,31000,54000,3.96,0,0.09,Nej,Nej
Timothy Fayulu,Congo DR,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Matthieu Epolo,Congo DR,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.02,Nej,Nej
Johny Placide,Haiti,MV,2488000,2500000,-4000,-15000,7000,-0.48,0,0.01,Nej,Nej
Alexandre Pierre,Haiti,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Josue Duverger,Haiti,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.00,Nej,Nej
Tyrick Bodak,Curaçao,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Trevor Doornbusch,Curaçao,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Eloy Room,Curaçao,MV,2656000,2500000,-27000,195000,-12000,6.24,0,0.04,Nej,Nej
Ørjan Nyland,Norge,MV,4115000,4000000,64000,56000,-5000,2.88,0,2.03,Nej,Nej
Egil Selvik,Norge,MV,3492000,3500000,-5000,-5000,2000,-0.23,0,0.12,Nej,Nej
Viljar Myhra,Norge,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Sander Tangvik,Norge,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.11,Nej,Nej
CJ Dos Santos,Kap Verde,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Bruno Varela,Kap Verde,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Yazeed Abulaila,Jordan,MV,2503000,2500000,-10000,23000,-10000,0.12,0,0.12,Nej,Nej
Noureddin Bani Attiah,Jordan,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Marcio Rosa,Kap Verde,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Vozinha,Kap Verde,MV,2773000,2500000,155000,16000,102000,10.92,0,0.40,Nej,Nej
Abdallah Al-Fakhouri,Jordan,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.13,Nej,Nej
Abdel Rahman Al-Talalga,Jordan,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Utkir Yusupov,Usbekistan,MV,2480000,2500000,-10000,-5000,-5000,-0.80,0,0.02,Nej,Nej
Abduvokhid Nematov,Usbekistan,MV,2409000,2500000,-5000,-76000,-10000,-3.64,0,0.04,Nej,Nej
Botirali Ergashev,Usbekistan,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.00,Nej,Nej
Dayne St. Clair,Canada,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.10,Nej,Nej
Maxime Crepeau,Canada,MV,3199000,3000000,29000,167000,3000,6.63,0,5.90,Nej,Nej
Owen Goodman,Canada,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.07,Nej,Nej
Angus Gunn,Skotland,MV,3623000,3500000,127000,-4000,0,3.51,0,0.59,Nej,Nej
Craig Gordon,Skotland,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.17,Nej,Nej
Scott Bain,Skotland,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Mahmoud Abunada,Qatar,MV,2473000,2500000,52000,-29000,-50000,-1.08,0,0.04,Nej,Nej
Shehab Ellethy,Qatar,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Liam Kelly,Skotland,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.04,Nej,Nej
Meshaal Barsham,Qatar,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Salah Zakaria,Qatar,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Ahmed Al-Kassar,Saudi-Arabien,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Nawaf Al-Aqidi,Saudi-Arabien,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Abdelmouhib Chamakh,Tunesien,MV,2464000,2500000,-26000,-5000,-5000,-1.44,0,0.06,Nej,Nej
Mohammed Al-Owais,Saudi-Arabien,MV,3158000,3000000,69000,-8000,97000,5.27,0,0.01,Nej,Nej
Abdulrahman Al-Sanbi,Saudi-Arabien,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Mohammed Al-Rubaie Al-Yami,Saudi-Arabien,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Aymen Dahmen,Tunesien,MV,2977000,3000000,-5000,-23000,5000,-0.77,0,0.01,Nej,Nej
Bechir Ben Said,Tunesien,MV,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Sabri Ben Hessen,Tunesien,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Yehvann Diouf,Senegal,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.01,Nej,Nej
Noureddine Farhati,Tunesien,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Mory Diaw,Senegal,MV,3166000,3000000,-5000,9000,162000,5.53,0,0.01,Nej,Nej
Edouard Mendy,Senegal,MV,3505000,3500000,10000,0,-5000,0.14,0,0.57,Nej,Nej
El Mehdi Al Harrar,Marokko,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Ahmed Reda Tagnaouti,Marokko,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.19,Nej,Nej
Yassine 'Bono' Bounou,Marokko,MV,3662000,3500000,34000,117000,11000,4.63,0,4.20,Nej,Nej
Munir Mohamedi El Kajoui,Marokko,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.02,Nej,Nej
El Mahdi Soliman,Egypten,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
El Mehdi Benabid,Marokko,MV,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Mohamed Alaa,Egypten,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Mostafa Oufa Shobeir,Egypten,MV,2727000,2500000,24000,74000,129000,9.08,0,2.11,Nej,Nej
Mohamed El-Shennawy,Egypten,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.07,Nej,Nej
Luis Mejia,Panama,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.00,Nej,Nej
Cesar Samudio,Panama,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Orlando Mosquera,Panama,MV,2500000,2500000,-4000,1000,3000,0.00,0,0.02,Nej,Nej
Kumel Al-Rekabe,Iraq,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Fahad Talib,Iraq,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.00,Nej,Nej
Jalal Hassan,Iraq,MV,2479000,2500000,-13000,-5000,-3000,-0.84,0,0.01,Nej,Nej
Ahmed Basil Fadhil,Iraq,MV,2476000,2500000,-5000,-15000,-4000,-0.96,0,0.03,Nej,Nej
Mike Penders,Belgien,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.05,Nej,Nej
Senne Lammens,Belgien,MV,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.28,Nej,Nej
Maarten Vandevoordt,Belgien,MV,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Thibaut Courtois,Belgien,MV,4710000,4500000,29000,102000,79000,4.67,0,7.16,Nej,Nej
Matz Sels,Belgien,MV,4500000,4500000,0,0,0,0.00,0,0.00,Ja,Nej
Alireza Beiranvand,Iran,MV,3225000,3000000,46000,155000,24000,7.50,0,0.71,Nej,Nej
Seyed Hossein Hosseini,Iran,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Payam Niazmand,Iran,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Nikola Vasilj,Bosnien-Hercegovina,MV,3075000,3000000,19000,-8000,64000,2.50,0,0.23,Nej,Nej
Mohammad Khalife,Iran,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Mladen Jurkas,Bosnien-Hercegovina,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Martin Zlomislic,Bosnien-Hercegovina,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Osman Hadzikic,Bosnien-Hercegovina,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
David Cabezas,Ecuador,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Gonzalo Valle,Ecuador,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.03,Nej,Nej
Hernan Galindez,Ecuador,MV,3662000,3500000,6000,102000,54000,4.63,0,5.46,Nej,Nej
Moises Ramirez,Ecuador,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.04,Nej,Nej
Camilo Vargas,Colombia,MV,4278000,4000000,59000,122000,97000,6.95,0,0.55,Nej,Nej
David Ospina,Colombia,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.20,Nej,Nej
Alvaro Montero,Colombia,MV,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.09,Nej,Nej
Chris Brady,USA,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.15,Nej,Nej
Patrick Schulte,USA,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Matt Freese,USA,MV,3696000,3500000,64000,137000,-5000,5.60,0,0.81,Nej,Nej
Matt Turner,USA,MV,2990000,3000000,-5000,-5000,0,-0.33,0,0.16,Nej,Nej
Sergio Rochet,Uruguay,MV,3989000,4000000,-5000,-5000,-1000,-0.27,0,0.22,Nej,Nej
Fernando Muslera,Uruguay,MV,4041000,4000000,24000,26000,-9000,1.03,0,0.62,Nej,Nej
Santiago Mele,Uruguay,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.02,Nej,Nej
Ricardo Goss,Sydafrika,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.03,Nej,Nej
Ronwen Williams,Sydafrika,MV,3144000,3000000,-7000,24000,127000,4.80,0,0.05,Nej,Nej
Sipho Chaine,Sydafrika,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.04,Nej,Nej
Juan Espinola,Paraguay,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Roberto 'Gatito' Fernandez,Paraguay,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.02,Nej,Nej
Gaston Olveira,Paraguay,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.02,Nej,Nej
Orlando Gill,Paraguay,MV,3256000,3000000,-3000,147000,112000,8.53,0,0.02,Nej,Nej
Carlos Miguel Coronel,Paraguay,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Alex Paulsen,New Zealand,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.03,Nej,Nej
Michael Woud,New Zealand,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Max Crocombe,New Zealand,MV,2525000,2500000,26000,5000,-6000,1.00,0,0.04,Nej,Nej
Raul Rangel,Mexico,MV,4396000,4000000,137000,127000,132000,9.90,0,3.29,Nej,Nej
Guillermo Ochoa,Mexico,MV,3032000,3000000,-5000,-5000,42000,1.07,0,0.60,Nej,Nej
Hyeon-Woo Jo,Sydkorea,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.07,Nej,Nej
Carlos Acevedo,Mexico,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.10,Nej,Nej
Seung-Gyu Kim,Sydkorea,MV,3071000,3000000,59000,6000,6000,2.37,0,0.16,Nej,Nej
Bum-Keun Song,Sydkorea,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.07,Nej,Nej
Zion Suzuki,Japan,MV,4217000,4000000,36000,147000,34000,5.42,0,0.82,Nej,Nej
Keisuke Osako,Japan,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.03,Nej,Nej
Tomoki Hayakawa,Japan,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.02,Nej,Nej
Solomon Agbasi,Ghana,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Benjamin Asare,Ghana,MV,3162000,3000000,57000,102000,3000,5.40,0,0.08,Nej,Nej
Paul Reverson,Ghana,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Joseph Anang,Ghana,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.02,Nej,Nej
Lawrence Ati Zigi,Ghana,MV,3027000,3000000,37000,-5000,-5000,0.90,0,0.02,Nej,Nej
Dean Henderson,England,MV,4485000,4500000,-5000,-5000,-5000,-0.33,0,0.09,Nej,Nej
James Trafford,England,MV,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.13,Nej,Nej
Jordan Pickford,England,MV,5295000,5000000,71000,87000,137000,5.90,0,3.05,Nej,Nej
Alban Lafont,Elfenbenskysten,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.18,Nej,Nej
Yahia Fofana,Elfenbenskysten,MV,3277000,3000000,122000,18000,137000,9.23,0,0.29,Nej,Nej
Mohamed Kone,Elfenbenskysten,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.04,Nej,Nej
Bento Krepski,Brasilien,MV,5000000,5000000,0,0,0,0.00,0,0.00,Ja,Nej
Alisson Becker,Brasilien,MV,5333000,5000000,19000,152000,162000,6.66,0,2.70,Nej,Nej
Ederson Moraes,Brasilien,MV,4985000,5000000,-5000,-5000,-5000,-0.30,0,0.10,Nej,Nej
Weverton,Brasilien,MV,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.02,Nej,Nej
Mathew Ryan,Australien,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.13,Nej,Nej
Paul Izzo,Australien,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.06,Nej,Nej
Walter Benitez,Argentina,MV,4000000,4000000,0,0,0,0.00,0,0.00,Ja,Nej
Patrick Beach,Australien,MV,2752000,2500000,167000,-12000,97000,10.08,0,0.32,Nej,Nej
Juan Musso,Argentina,MV,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.06,Nej,Nej
Emiliano Martinez,Argentina,MV,5323000,5000000,137000,132000,54000,6.46,0,6.25,Nej,Nej
Geronimo Rulli,Argentina,MV,4485000,4500000,-5000,-5000,-5000,-0.33,0,0.07,Nej,Nej
Oussama Benbout,Algeriet,MV,2508000,2500000,-5000,-5000,18000,0.32,0,0.01,Nej,Nej
Alexis Guendouz,Algeriet,MV,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Luca Zidane,Algeriet,MV,3044000,3000000,-10000,59000,-5000,1.47,0,0.19,Nej,Nej
Anthony Mandrea,Algeriet,MV,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Melvin Feycal Mastil,Algeriet,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.01,Nej,Nej
Viktor Johansson,Sverige,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.04,Nej,Nej
Melker Ellborg,Sverige,MV,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Noel Törnqvist,Sverige,MV,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Robin Olsen,Sverige,MV,4000000,4000000,0,0,0,0.00,0,0.00,Ja,Nej
Jacob Widell Zetterström,Sverige,MV,3514000,3500000,-5000,-5000,24000,0.40,0,0.02,Nej,Nej
Kristoffer Nordfeldt,Sverige,MV,4053000,4000000,79000,-21000,-5000,1.32,0,0.13,Nej,Nej
Alejandro 'Alex' Remiro,Spanien,MV,4000000,4000000,0,0,0,0.00,0,0.00,Ja,Nej
Unai Simon,Spanien,MV,5376000,5000000,92000,152000,132000,7.52,0,4.10,Nej,Nej
David Raya,Spanien,MV,4985000,5000000,-5000,-5000,-5000,-0.30,0,5.05,Nej,Nej
Joan Garcia,Spanien,MV,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.63,Nej,Nej
Bart Verbruggen,Holland,MV,4699000,4500000,21000,109000,69000,4.42,0,1.73,Nej,Nej
Robin Roefs,Holland,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.10,Nej,Nej
Justin Bijlow,Holland,MV,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Mark Flekken,Holland,MV,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.27,Nej,Nej
Robin Risser,Frankrig,MV,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.05,Nej,Nej
Brice Samba,Frankrig,MV,4485000,4500000,-5000,-5000,-5000,-0.33,0,0.09,Nej,Nej
Mike Maignan,Frankrig,MV,5380000,5000000,64000,137000,179000,7.60,0,5.92,Nej,Nej
Lucas Chevalier,Frankrig,MV,4000000,4000000,0,0,0,0.00,0,0.00,Ja,Nej
Dominik Livakovic,Kroatien,MV,4193000,4000000,22000,127000,44000,4.83,0,1.21,Nej,Nej
Jonas Urbig,Tyskland,MV,4000000,4000000,0,0,0,0.00,0,0.00,Ja,Nej
Finn Dahmen,Tyskland,MV,4000000,4000000,0,0,0,0.00,0,0.00,Ja,Nej
Alexander Nübel,Tyskland,MV,4485000,4500000,-5000,-5000,-5000,-0.33,0,0.09,Nej,Nej
Oliver Baumann,Tyskland,MV,4985000,5000000,-5000,-5000,-5000,-0.30,0,0.22,Nej,Nej
Manuel Neuer,Tyskland,MV,5146000,5000000,99000,49000,-2000,2.92,0,5.24,Nej,Nej
Dominik Kotarski,Kroatien,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.20,Nej,Nej
Ivor Pandur,Kroatien,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.13,Nej,Nej
Patrick Pentz,Østrig,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.43,Nej,Nej
Florian Wiegele,Østrig,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.05,Nej,Nej
Nikolas Polster,Østrig,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Alexander Schlager,Østrig,MV,3685000,3500000,69000,88000,28000,5.29,0,2.29,Nej,Nej
Mert Günok,Tyrkiet,MV,3485000,3500000,-5000,-5000,-5000,-0.43,0,0.04,Nej,Nej
Muhammed Sengezer,Tyrkiet,MV,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Ugurcan Cakir,Tyrkiet,MV,4060000,4000000,-7000,-4000,71000,1.50,0,0.71,Nej,Nej
Altay Bayindir,Tyrkiet,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.21,Nej,Nej
Joao Carvalho,Portugal,MV,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Ricardo Velho,Portugal,MV,4000000,4000000,0,0,0,0.00,0,0.00,Ja,Nej
Rui Silva,Portugal,MV,3985000,4000000,-5000,-5000,-5000,-0.38,0,0.21,Nej,Nej
Jose Sa,Portugal,MV,4485000,4500000,-5000,-5000,-5000,-0.33,0,0.22,Nej,Nej
Diogo Costa,Portugal,MV,5336000,5000000,19000,167000,150000,6.72,0,4.39,Nej,Nej
Jindrich Stanek,Tjekkiet,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.04,Nej,Nej
Matej Kovar,Tjekkiet,MV,3032000,3000000,18000,29000,-15000,1.07,0,0.60,Nej,Nej
Martin Jedlicka,Tjekkiet,MV,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Lukas Hornicek,Tjekkiet,MV,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.04,Nej,Nej
Marvin Keller,Schweiz,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.07,Nej,Nej
Pascal Loretz,Schweiz,MV,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
Gregor Kobel,Schweiz,MV,4177000,4000000,29000,74000,74000,4.42,0,11.80,Nej,Nej
Yvon Mvogo,Schweiz,MV,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.02,Nej,Nej
Denis Zakaria,Schweiz,MID,2994000,3000000,4000,-5000,-5000,-0.20,0,0.32,Nej,Nej
Djibril Sow,Schweiz,MID,3111000,3000000,-5000,64000,52000,3.70,0,0.09,Nej,Nej
Granit Xhaka,Schweiz,MID,4252000,4000000,14000,214000,24000,6.30,0,3.93,Nej,Nej
Vincent Sierro,Schweiz,MID,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Noah Okafor,Schweiz,MID,2985000,3000000,-5000,-5000,-5000,-0.50,0,0.22,Nej,Nej
Remo Freuler,Schweiz,MID,3630000,3500000,22000,64000,44000,3.71,0,0.55,Nej,Nej
Michel Aebischer,Schweiz,MID,2588000,2500000,32000,32000,24000,3.52,0,0.48,Nej,Nej
Simon Sohm,Schweiz,MID,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Johan Manzambi,Schweiz,MID,3728000,3000000,4000,364000,360000,24.27,0,0.52,Nej,Nej
Alvyn Sanches,Schweiz,MID,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Filip Ugrinic,Schweiz,MID,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Ardon Jashari,Schweiz,MID,1994000,2000000,4000,-5000,-5000,-0.30,0,0.31,Nej,Nej
Fabian Rieder,Schweiz,MID,3031000,3000000,4000,32000,-5000,1.03,0,1.16,Nej,Nej
Alex Kral,Tjekkiet,MID,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Tomas Soucek,Tjekkiet,MID,3496000,3500000,-7000,4000,-1000,-0.11,0,0.39,Nej,Nej
David Doudera,Tjekkiet,MID,1965000,2000000,-5000,-5000,-25000,-1.75,0,0.05,Nej,Nej
Pavel Sulc,Tjekkiet,MID,3988000,4000000,9000,4000,-25000,-0.30,0,0.18,Nej,Nej
Denis Visinsky,Tjekkiet,MID,1981000,2000000,-5000,-5000,-9000,-0.95,0,0.03,Nej,Nej
Hugo Sochurek,Tjekkiet,MID,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.04,Nej,Nej
Alexandr Sojka,Tjekkiet,MID,2066000,2000000,-7000,82000,-9000,3.30,0,0.21,Nej,Nej
Adam Karabec,Tjekkiet,MID,2500000,2500000,0,0,0,0.00,0,0.00,Ja,Nej
Vladimir Darida,Tjekkiet,MID,2012000,2000000,-5000,22000,-5000,0.60,0,0.23,Nej,Nej
Lukas Provod,Tjekkiet,MID,2996000,3000000,9000,4000,-17000,-0.13,0,0.06,Nej,Nej
Michal Sadilek,Tjekkiet,MID,2650000,2500000,3000,172000,-25000,6.00,0,0.06,Nej,Nej
Bruno Fernandes,Portugal,MID,7188000,7000000,14000,152000,22000,2.69,0,16.54,Nej,Nej
Bernardo Silva,Portugal,MID,5531000,5500000,-6000,42000,-5000,0.56,0,1.75,Nej,Nej
Ruben Neves,Portugal,MID,4002000,4000000,-5000,-5000,12000,0.05,0,1.27,Nej,Nej
João Neves,Portugal,MID,5281000,5000000,197000,72000,12000,5.62,0,4.96,Nej,Nej
Samu Costa,Portugal,MID,2502000,2500000,-5000,-5000,12000,0.08,0,0.31,Nej,Nej
Matheus Nunes,Portugal,MID,4502000,4500000,-5000,-5000,12000,0.04,0,0.38,Nej,Nej
Pedro 'Pote' Goncalves,Portugal,MID,3000000,3000000,0,0,0,0.00,0,0.00,Ja,Nej
João Palhinha,Portugal,MID,4500000,4500000,0,0,0,0.00,0,0.00,Ja,Nej
Vitinha,Portugal,MID,5598000,5500000,14000,72000,12000,1.78,0,8.92,Nej,Nej
Kerem Akturkoglu,Tyrkiet,MID,4479000,4500000,-7000,-9000,-5000,-0.47,0,0.50,Nej,Nej
Arda Güler,Tyrkiet,MID,4733000,4500000,13000,-9000,229000,5.18,0,9.84,Nej,Nej
Lukas Cerv,Tjekkiet,MID,3020000,3000000,-5000,32000,-7000,0.67,0,0.03,Nej,Nej
Orkun Kökcü,Tyrkiet,MID,3086000,3000000,-9000,-1000,96000,2.87,0,0.35,Nej,Nej
Kenan Yildiz,Tyrkiet,MID,4038000,4000000,-9000,1000,46000,0.95,0,3.29,Nej,Nej
Atakan Karazor,Tyrkiet,MID,2000000,2000000,0,0,0,0.00,0,0.00,Ja,Nej
Irfan Can Kahveci,Tyrkiet,MID,2032000,2000000,-5000,-5000,42000,1.60,0,0.07,Nej,Nej
Ismail Yüksek,Tyrkiet,MID,2469000,2500000,-17000,-9000,-5000,-1.24,0,0.09,Nej,Nej
Kaan Ayhan,Tyrkiet,MID,2222000,2000000,-5000,-5000,232000,11.10,0,0.04,Nej,Nej
Hakan Calhanoglu,Tyrkiet,MID,3989000,4000000,3000,-9000,-5000,-0.27,0,1.92,Nej,Nej
Konrad Laimer,Østrig,MID,3095000,3000000,54000,-37000,78000,3.17,0,0.66,Nej,Nej
Alessandro Schöpf,Østrig,MID,2485000,2500000,-5000,-5000,-5000,-0.60,0,0.08,Nej,Nej
Marcel Sabitzer,Østrig,MID,4695000,4500000,34000,-7000,168000,4.33,0,1.49,Nej,Nej
Oguz Aydin,Tyrkiet,MID,2026000,2000000,-5000,-5000,36000,1.30,0,0.04,Nej,Nej
Salih Özcan,Tyrkiet,MID,2040000,2000000,-1000,-5000,46000,2.00,0,0.11,Nej,Nej
Patrick Wimmer,Østrig,MID,3028000,3000000,42000,-9000,-5000,0.93,0,0.66,Nej,Nej
Dejan Ljubicic,Østrig,MID,1985000,2000000,-5000,-5000,-5000,-0.75,0,0.01,Nej,Nej
Christoph Baumgartner,Østrig,MID,3500000,3500000,0,0,0,0.00,0,0.00,Ja,Nej
Nicolas Seiwald,Østrig,MID,2555000,2500000,54000,-17000,18000,2.20,0,0.08,Nej,Nej
Carney Chukwuemeka,Østrig,MID,2548000,2500000,62000,-9000,-5000,1.92,0,0.09,Nej,Nej
Xaver Schlager,Østrig,MID,2591000,2500000,94000,-17000,14000,3.64,0,0.10,Nej,Nej
Romano Schmid,Østrig,MID,3199000,3000000,194000,-9000,14000,6.63,0,0.16,Nej,Nej
